id,source,target,created_at_source,created_at_target,news_id
0,lupash7,yojudenz,20171203182608,20171203194249,0
1,lupash7,WilliamNerbonne,20171203182608,20171203201542,0
2,lupash7,saveusrepublic2,20171203182608,20171203210538,0
3,lupash7,starchaser57,20171203182608,20171203211439,0
4,lupash7,Ettan1945,20171203182608,20171203213928,0
5,lupash7,ThePipeStore,20171203182608,20171203223409,0
6,lupash7,bronwyn1140,20171203182608,20171203223547,0
7,lupash7,movie1212,20171203182608,20171203224052,0
8,lupash7,michaelaw631,20171203182608,20171203224231,0
9,lupash7,michaelaw631,20171203182608,20171203224304,0
10,lupash7,Nappers824,20171203182608,20171203224655,0
11,lupash7,kldreams61,20171203182608,20171203232254,0
12,lupash7,ronwagn,20171203182608,20171203235836,0
13,lupash7,ChasD3,20171203182608,20171204000916,0
14,lupash7,Kurt_770A,20171203182608,20171204001322,0
15,lupash7,nhssabine,20171203182608,20171204004048,0
16,lupash7,RealMAGASteve,20171203182608,20171204005429,0
17,lupash7,Billionaire128,20171203182608,20171204011911,0
18,lupash7,tasteofaz,20171203182608,20171204012047,0
19,lupash7,Stevenehumphrey,20171203182608,20171204012829,0
20,lupash7,poooopers,20171203182608,20171204013020,0
21,lupash7,fat2energy,20171203182608,20171204022645,0
22,lupash7,cannoneerno4,20171203182608,20171204023310,0
23,lupash7,Iridium24,20171203182608,20171204032020,0
24,lupash7,CalRWinn,20171203182608,20171204032317,0
25,lupash7,Ace__of__Hearts,20171203182608,20171204032907,0
26,lupash7,sunbeltgirl,20171203182608,20171204033731,0
27,lupash7,RuffusMD,20171203182608,20171204044300,0
28,lupash7,DGHallow,20171203182608,20171204044746,0
29,lupash7,A1arch,20171203182608,20171204102348,0
30,lupash7,letgobestill,20171203182608,20171204142126,0
31,lupash7,Melissa31920880,20171203182608,20171204144018,0
32,lupash7,citigirl555,20171203182608,20171204145411,0
33,lupash7,crosshairsonyou,20171203182608,20171204152345,0
34,lupash7,patriots4trump,20171203182608,20171204173822,0
35,lupash7,BillyBoysDaddy,20171203182608,20171204174031,0
36,lupash7,BillyBoysDaddy,20171203182608,20171204174649,0
37,lupash7,kin2souls,20171203182608,20171204175729,0
38,lupash7,Mmarty1230,20171203182608,20171204182636,0
39,lupash7,kangenagicdave,20171203182608,20171204185223,0
40,lupash7,soxfaninpa1,20171203182608,20171204185602,0
41,lupash7,lumpy3148,20171203182608,20171204205501,0
42,lupash7,lumpy3148,20171203182608,20171204205503,0
43,lupash7,TmottaDing,20171203182608,20171204214032,0
44,lupash7,cwoolley06,20171203182608,20171204223928,0
45,lupash7,patrickemry,20171203182608,20171204235613,0
46,lupash7,HoylandEileen,20171203182608,20171205003415,0
47,lupash7,nclawyer2,20171203182608,20171205012437,0
48,lupash7,bestra6169,20171203182608,20171205013001,0
49,lupash7,russosimon,20171203182608,20171205020320,0
50,lupash7,BigBobDC68,20171203182608,20171205042559,0
51,lupash7,NEPTUNE1X2X,20171203182608,20171205051801,0
52,lupash7,Shannon091171,20171203182608,20171205054256,0
53,lupash7,ASteveRobinson,20171203182608,20171205061818,0
54,lupash7,lesliedalehicks,20171203182608,20171205113225,0
55,lupash7,ArizonaSun3,20171203182608,20171205153208,0
56,lupash7,byrdiemarquez,20171203182608,20171205161508,0
57,lupash7,focusnewspro,20171203182608,20171205174036,0
58,lupash7,snyder777,20171203182608,20171205174954,0
59,lupash7,PJ_Phares,20171203182608,20171205215803,0
60,lupash7,toppertaco,20171203182608,20171205235902,0
61,lupash7,jeanmarie1023,20171203182608,20171206010201,0
62,lupash7,GoodScienceFYou,20171203182608,20171206060857,0
63,lupash7,155thMed,20171203182608,20171206102616,0
64,lupash7,RDVarley,20171203182608,20171206110136,0
65,lupash7,MichaelBendall7,20171203182608,20171207024727,0
66,lupash7,twin0830us,20171203182608,20171207040616,0
67,lupash7,rkaley1,20171203182608,20171208014241,0
68,lupash7,PRheydt,20171203182608,20171208042950,0
69,lupash7,borderfox116,20171203182608,20171208110831,0
70,lupash7,RoyMcCampbell,20171203182608,20171208231748,0
71,lupash7,royfmc,20171203182608,20171208231749,0
72,lupash7,blaze0497,20171203182608,20171209104545,0
73,lupash7,jboatman3,20171203182608,20171209114819,0
74,lupash7,teri3622,20171203182608,20171209121634,0
75,lupash7,teri3622,20171203182608,20171213162516,0
76,lupash7,tennesseepeggy,20171203182608,20171213165002,0
77,lupash7,marvelbrannock,20171203182608,20171213192724,0
78,lupash7,jerrydr,20171203182608,20171213203741,0
79,lupash7,Kittykatnip1970,20171203182608,20171213230122,0
80,lupash7,BrettWSabio,20171203182608,20171215005341,0
81,lupash7,garzagarza1972,20171203182608,20171216003652,0
82,lupash7,blaze0497,20171203182608,20171217000053,0
83,lupash7,mks8864,20171203182608,20171217122129,0
84,lupash7,PattiPropst,20171203182608,20171217155054,0
85,lupash7,TVOTP1,20171203182608,20171218133707,0
86,lupash7,IRONRHINO333,20171203182608,20171219035400,0
87,lupash7,ccc122436,20171203182608,20171222041042,0
88,lupash7,ken_parrish,20171203182608,20171222134642,0
89,lupash7,blaze0497,20171203182608,20171223145701,0
90,lupash7,mitigirl,20171203182608,20171225004448,0
91,lupash7,wbrock2,20171203182608,20171228014301,0
