#network.py erdos-renyi --n 500 --p 0.002 --total 5
# GMT Mon Sep 14 20:40:35 2020
# 
0,0
1,0
2,1
116,{}
3,1
209,{}
4,1
373,{}
5,2
399,{}
428,{}
6,0
7,2
180,{}
197,{}
8,1
15,{}
9,1
13,{}
10,0
11,1
48,{}
12,1
239,{}
13,0
14,1
472,{}
15,1
297,{}
16,0
17,2
275,{}
479,{}
18,1
259,{}
19,0
20,0
21,1
301,{}
22,2
212,{}
357,{}
23,0
24,1
489,{}
25,2
43,{}
463,{}
26,0
27,3
309,{}
409,{}
484,{}
28,0
29,1
397,{}
30,1
72,{}
31,0
32,2
181,{}
418,{}
33,0
34,2
174,{}
253,{}
35,0
36,0
37,1
385,{}
38,1
306,{}
39,2
62,{}
441,{}
40,1
395,{}
41,2
60,{}
339,{}
42,0
43,2
281,{}
427,{}
44,0
45,1
213,{}
46,2
244,{}
493,{}
47,2
125,{}
352,{}
48,1
197,{}
49,0
50,1
338,{}
51,0
52,1
400,{}
53,2
336,{}
370,{}
54,1
77,{}
55,2
388,{}
465,{}
56,0
57,0
58,1
418,{}
59,1
462,{}
60,1
236,{}
61,0
62,0
63,1
424,{}
64,0
65,0
66,1
377,{}
67,2
82,{}
428,{}
68,2
99,{}
110,{}
69,0
70,0
71,2
166,{}
489,{}
72,1
94,{}
73,2
154,{}
214,{}
74,0
75,1
461,{}
76,0
77,0
78,0
79,2
274,{}
419,{}
80,0
81,0
82,2
458,{}
489,{}
83,2
398,{}
453,{}
84,1
449,{}
85,1
159,{}
86,1
349,{}
87,1
212,{}
88,0
89,0
90,0
91,1
351,{}
92,0
93,0
94,0
95,0
96,0
97,2
127,{}
230,{}
98,2
101,{}
378,{}
99,0
100,0
101,2
265,{}
467,{}
102,0
103,1
189,{}
104,1
220,{}
105,0
106,2
162,{}
449,{}
107,1
108,{}
108,0
109,1
154,{}
110,0
111,0
112,1
314,{}
113,2
116,{}
428,{}
114,1
231,{}
115,1
269,{}
116,0
117,0
118,0
119,1
409,{}
120,0
121,0
122,2
233,{}
279,{}
123,1
220,{}
124,1
312,{}
125,1
469,{}
126,1
461,{}
127,0
128,0
129,1
260,{}
130,1
445,{}
131,0
132,0
133,1
465,{}
134,1
412,{}
135,0
136,1
152,{}
137,0
138,2
439,{}
473,{}
139,1
396,{}
140,1
478,{}
141,0
142,1
445,{}
143,3
147,{}
221,{}
361,{}
144,2
246,{}
282,{}
145,1
418,{}
146,0
147,0
148,1
222,{}
149,0
150,1
419,{}
151,0
152,0
153,3
267,{}
328,{}
497,{}
154,2
168,{}
317,{}
155,0
156,0
157,2
212,{}
292,{}
158,2
213,{}
285,{}
159,0
160,0
161,1
347,{}
162,0
163,1
462,{}
164,2
262,{}
427,{}
165,3
174,{}
184,{}
450,{}
166,0
167,0
168,1
498,{}
169,2
178,{}
409,{}
170,0
171,1
236,{}
172,1
341,{}
173,0
174,1
474,{}
175,0
176,0
177,1
242,{}
178,1
191,{}
179,1
395,{}
180,3
310,{}
440,{}
468,{}
181,0
182,0
183,0
184,1
194,{}
185,0
186,2
320,{}
357,{}
187,0
188,0
189,0
190,0
191,0
192,1
302,{}
193,0
194,0
195,2
201,{}
345,{}
196,0
197,1
241,{}
198,0
199,1
256,{}
200,1
336,{}
201,1
314,{}
202,1
311,{}
203,0
204,2
422,{}
436,{}
205,1
321,{}
206,1
430,{}
207,1
361,{}
208,1
447,{}
209,1
391,{}
210,1
284,{}
211,2
243,{}
359,{}
212,0
213,1
279,{}
214,0
215,0
216,0
217,1
314,{}
218,1
224,{}
219,0
220,1
426,{}
221,0
222,1
390,{}
223,0
224,0
225,1
318,{}
226,0
227,0
228,1
404,{}
229,0
230,2
342,{}
345,{}
231,0
232,1
425,{}
233,0
234,0
235,0
236,0
237,0
238,1
293,{}
239,0
240,0
241,0
242,1
469,{}
243,0
244,2
268,{}
399,{}
245,0
246,2
294,{}
299,{}
247,0
248,1
293,{}
249,0
250,0
251,0
252,0
253,0
254,0
255,1
481,{}
256,1
350,{}
257,0
258,0
259,0
260,1
314,{}
261,1
419,{}
262,0
263,1
469,{}
264,0
265,0
266,0
267,0
268,0
269,2
374,{}
408,{}
270,2
284,{}
428,{}
271,0
272,4
284,{}
299,{}
