0,190,{}
1,281,{}
1,385,{}
2,77,{}
2,250,{}
2,329,{}
2,354,{}
2,464,{}
2,490,{}
3,164,{}
3,232,{}
3,312,{}
3,323,{}
3,327,{}
3,399,{}
3,442,{}
4,251,{}
4,355,{}
4,411,{}
5,77,{}
5,436,{}
6,90,{}
6,139,{}
6,379,{}
6,430,{}
6,491,{}
7,124,{}
8,16,{}
8,174,{}
8,198,{}
9,120,{}
9,165,{}
9,259,{}
9,336,{}
10,287,{}
10,374,{}
11,37,{}
11,253,{}
11,280,{}
11,286,{}
12,108,{}
13,27,{}
13,315,{}
13,366,{}
14,53,{}
14,310,{}
14,343,{}
14,425,{}
15,468,{}
16,269,{}
16,282,{}
16,339,{}
16,353,{}
17,195,{}
17,330,{}
18,26,{}
18,68,{}
19,173,{}
19,392,{}
21,38,{}
21,60,{}
21,164,{}
21,187,{}
21,334,{}
21,494,{}
22,105,{}
22,378,{}
22,438,{}
23,259,{}
24,118,{}
24,399,{}
24,406,{}
25,77,{}
25,104,{}
25,154,{}
25,165,{}
25,386,{}
25,427,{}
25,464,{}
26,202,{}
26,215,{}
26,231,{}
26,278,{}
26,304,{}
26,388,{}
27,161,{}
27,176,{}
27,303,{}
27,381,{}
28,110,{}
28,286,{}
29,109,{}
29,281,{}
30,65,{}
30,78,{}
30,289,{}
31,145,{}
31,193,{}
31,492,{}
32,369,{}
32,472,{}
33,53,{}
33,222,{}
33,335,{}
33,498,{}
34,111,{}
34,143,{}
34,274,{}
34,351,{}
35,89,{}
35,190,{}
36,225,{}
36,270,{}
36,367,{}
37,157,{}
37,198,{}
37,254,{}
37,399,{}
38,270,{}
38,337,{}
39,50,{}
39,143,{}
39,158,{}
39,327,{}
39,360,{}
39,399,{}
39,478,{}
40,77,{}
40,112,{}
40,390,{}
40,444,{}
41,53,{}
41,173,{}
41,382,{}
42,96,{}
42,236,{}
42,476,{}
43,149,{}
43,164,{}
43,303,{}
43,374,{}
44,146,{}
44,249,{}
44,359,{}
45,296,{}
45,306,{}
46,79,{}
46,133,{}
46,223,{}
46,444,{}
47,475,{}
48,163,{}
48,188,{}
48,380,{}
48,436,{}
50,146,{}
50,470,{}
51,107,{}
51,490,{}
53,102,{}
53,175,{}
54,79,{}
54,224,{}
54,257,{}
55,56,{}
55,136,{}
55,169,{}
55,421,{}
55,470,{}
55,493,{}
56,276,{}
58,287,{}
58,338,{}
58,382,{}
58,419,{}
59,257,{}
61,72,{}
61,250,{}
61,447,{}
62,88,{}
63,309,{}
63,348,{}
63,372,{}
64,152,{}
64,286,{}
65,159,{}
65,247,{}
67,490,{}
68,278,{}
68,378,{}
69,469,{}
70,125,{}
70,294,{}
70,340,{}
71,361,{}
71,400,{}
71,445,{}
73,84,{}
73,186,{}
73,237,{}
74,103,{}
74,175,{}
74,375,{}
75,118,{}
75,427,{}
76,412,{}
78,354,{}
78,358,{}
79,194,{}
79,205,{}
79,298,{}
80,208,{}
80,285,{}
80,464,{}
80,487,{}
81,163,{}
81,183,{}
81,188,{}
81,432,{}
82,373,{}
83,425,{}
84,235,{}
84,382,{}
85,282,{}
85,440,{}
86,114,{}
87,198,{}
87,216,{}
87,357,{}
88,145,{}
88,178,{}
88,226,{}
89,152,{}
89,461,{}
90,233,{}
90,476,{}
91,191,{}
91,214,{}
91,393,{}
92,211,{}
92,231,{}
92,363,{}
92,460,{}
94,167,{}
94,219,{}
94,364,{}
95,102,{}
95,241,{}
95,359,{}
95,420,{}
96,444,{}
97,119,{}
97,262,{}
97,289,{}
97,328,{}
97,351,{}
